USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  21464 13324 ?        Ss   15:51   0:02 /sbin/init splash noautomount splash
root         327  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-ata_sff]
root         330  0.0  0.0      0     0 ?        S    15:51   0:00 [irq/51-ELAN1300:00]
root         331  0.0  0.0      0     0 ?        S    15:51   0:00 [scsi_eh_0]
root         332  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-scsi_tmf_0]
root         337  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/5:1H-kblockd]
root         341  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-amdgpu-reset-dev]
root         342  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-ttm]
root         343  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         344  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         345  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-dm_vblank_control_workqueue]
root         346  0.0  0.0      0     0 ?        S    15:51   0:00 [card0-crtc0]
root         347  0.0  0.0      0     0 ?        S    15:51   0:00 [card0-crtc1]
root         348  0.0  0.0      0     0 ?        S    15:51   0:00 [card0-crtc2]
root         349  0.0  0.0      0     0 ?        S    15:51   0:00 [card0-crtc3]
root         350  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-gfx]
root         351  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-comp_1.0.0]
root         352  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-comp_1.1.0]
root         353  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-comp_1.2.0]
root         354  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-comp_1.3.0]
root         355  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-comp_1.0.1]
root         356  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-comp_1.1.1]
root         357  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-comp_1.2.1]
root         358  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-comp_1.3.1]
root         359  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-sdma0]
root         360  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-vcn_dec]
root         361  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-vcn_enc0]
root         362  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-vcn_enc1]
root         363  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-jpeg_dec]
root         379  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-xfsalloc]
